seed,policy,budget,loss,ack_loss,delay,ticks,useful_packets,usable_value,possible_value,learners_reached,learners,responses_returned,orphan_packets,expired_or_undelivered,in_flight,pending_acks,processes,data_bytes,ack_bytes,dropped_bytes,duplicate_bytes
7,risk,1024,0.0,0.0,1,48,6,6.820000000000001,42.0,2,12,2,0,30,0,1,False,9067,1104,0,2089
7,density,1024,0.0,0.0,1,48,6,10.65,42.0,6,12,6,1,30,0,3,False,10502,1610,0,2728
7,no_dependencies,1024,0.0,0.0,1,48,5,8.81,42.0,5,12,5,1,31,0,2,False,9915,1472,0,1950
7,no_fairness,1024,0.0,0.0,1,48,5,8.88,42.0,5,12,5,0,31,0,2,False,9227,1380,0,2449
8,isoko,1024,0.0,0.0,1,48,6,11.92,45.32,6,12,6,0,30,0,4,False,10068,1518,0,2728
8,fifo,1024,0.0,0.0,1,48,1,1.32,45.32,1,12,1,2,35,0,0,False,7960,736,0,2190
8,edf,1024,0.0,0.0,1,48,1,1.32,45.32,1,12,1,2,35,0,0,False,7418,736,0,528
8,risk,1024,0.0,0.0,1,48,5,8.442,45.32,4,12,4,1,31,0,2,False,9253,1242,0,1363
8,density,1024,0.0,0.0,1,48,6,10.632,45.32,5,12,5,0,30,0,2,False,9867,1564,0,2949
8,no_dependencies,1024,0.0,0.0,1,48,7,12.672,45.32,6,12,6,0,29,0,4,False,10704,1610,0,2728
8,no_fairness,1024,0.0,0.0,1,48,5,9.88,45.32,5,12,5,0,31,0,2,False,9231,1472,0,2699
9,isoko,1024,0.0,0.0,1,48,6,11.49,47.06,6,12,6,0,30,0,4,False,10092,1472,0,3006
9,fifo,1024,0.0,0.0,1,48,3,5.1899999999999995,47.06,3,12,3,3,33,0,1,False,9369,1288,0,3300
9,edf,1024,0.0,0.0,1,48,1,2.05,47.06,1,12,1,2,35,0,0,False,5936,644,0,1362
9,risk,1024,0.0,0.0,1,48,4,6.782,47.06,3,12,3,2,32,0,1,False,8755,1334,0,2462
9,density,1024,0.0,0.0,1,48,6,10.95,47.06,5,12,5,0,30,0,2,False,9792,1564,0,2976
9,no_dependencies,1024,0.0,0.0,1,48,7,12.31,47.06,6,12,6,0,29,0,4,False,10630,1564,0,3006
9,no_fairness,1024,0.0,0.0,1,48,5,10.129999999999999,47.06,5,12,5,0,31,0,2,False,9253,1426,0,2726
10,isoko,1024,0.0,0.0,1,48,5,9.79,43.46,5,12,5,0,31,0,2,False,8483,1334,0,2200
10,fifo,1024,0.0,0.0,1,48,5,6.859999999999999,43.46,3,12,3,0,31,0,2,False,9074,1196,0,2834
10,edf,1024,0.0,0.0,1,48,3,4.752,43.46,2,12,2,1,33,0,0,False,6559,874,0,834
10,risk,1024,0.0,0.0,1,48,4,5.67,43.46,2,12,2,1,32,0,1,False,8574,1104,0,2638
10,density,1024,0.0,0.0,1,48,6,11.799999999999999,43.46,6,12,6,1,30,0,3,False,10339,1564,0,2450
10,no_dependencies,1024,0.0,0.0,1,48,5,9.79,43.46,5,12,5,1,31,0,2,False,9531,1426,0,2200
10,no_fairness,1024,0.0,0.0,1,48,6,11.799999999999999,43.46,6,12,6,0,30,0,3,False,9291,1426,0,2200
11,isoko,1024,0.0,0.0,1,48,6,12.72,49.14,6,12,6,0,30,0,4,False,10316,1518,0,2729
11,fifo,1024,0.0,0.0,1,48,2,1.54,49.14,1,12,1,2,34,0,0,False,7125,782,0,1360
11,edf,1024,0.0,0.0,1,48,0,0,49.14,0,12,0,2,36,0,0,False,6621,552,0,1820
11,risk,1024,0.0,0.0,1,48,3,6.0,49.14,1,12,1,2,33,0,1,False,9416,1012,0,2376
11,density,1024,0.0,0.0,1,48,6,12.870000000000001,49.14,6,12,6,0,30,0,3,False,10345,1610,0,3008
11,no_dependencies,1024,0.0,0.0,1,48,6,12.72,49.14,6,12,6,0,30,0,4,False,10316,1518,0,2729
11,no_fairness,1024,0.0,0.0,1,48,5,10.56,49.14,5,12,5,0,31,0,2,False,9479,1426,0,2450
12,isoko,1024,0.0,0.0,1,48,6,13.21,50.84,6,12,6,0,30,0,4,False,10069,1426,0,2479
12,fifo,1024,0.0,0.0,1,48,5,8.13,50.84,3,12,3,1,31,0,1,False,9015,1288,0,2638
12,edf,1024,0.0,0.0,1,48,4,6.156000000000001,50.84,3,12,3,0,32,0,0,False,7294,966,0,1112
12,risk,1024,0.0,0.0,1,48,3,4.346,50.84,2,12,2,1,33,0,0,False,7322,874,0,1124
12,density,1024,0.0,0.0,1,48,6,13.360000000000001,50.84,6,12,6,0,30,0,4,False,10381,1472,0,2729
12,no_dependencies,1024,0.0,0.0,1,48,6,13.21,50.84,6,12,6,0,30,0,4,False,10382,1426,0,2479
12,no_fairness,1024,0.0,0.0,1,48,6,13.21,50.84,6,12,6,0,30,0,4,False,10069,1426,0,2479
13,isoko,1024,0.0,0.0,1,48,5,12.07,50.9,5,12,5,0,31,0,2,False,8731,1426,0,2700
13,fifo,1024,0.0,0.0,1,48,3,5.144,50.9,2,12,2,0,33,0,1,False,7751,1012,0,2070
13,edf,1024,0.0,0.0,1,48,2,2.6740000000000004,50.9,1,12,1,1,34,0,0,False,5921,782,0,846
13,risk,1024,0.0,0.0,1,48,5,8.728,50.9,3,12,3,1,31,0,2,False,8788,1150,0,2298
13,density,1024,0.0,0.0,1,48,6,13.49,50.9,6,12,6,1,30,0,3,False,10334,1564,0,2698
13,no_dependencies,1024,0.0,0.0,1,48,5,12.07,50.9,5,12,5,1,31,0,2,False,9779,1518,0,2700
13,no_fairness,1024,0.0,0.0,1,48,6,13.49,50.9,6,12,6,0,30,0,3,False,9287,1472,0,2699
14,isoko,1024,0.0,0.0,1,48,6,13.16,48.7,6,12,6,0,30,0,3,False,9005,1380,0,1922
14,fifo,1024,0.0,0.0,1,48,4,7.412,48.7,3,12,3,2,32,0,2,False,8081,1104,0,2677
14,edf,1024,0.0,0.0,1,48,3,3.1399999999999997,48.7,1,12,1,0,33,0,0,False,4594,552,0,556
14,risk,1024,0.0,0.0,1,48,4,7.029999999999999,48.7,2,12,2,1,32,0,0,False,5838,874,0,1490
14,density,1024,0.0,0.0,1,48,6,13.16,48.7,6,12,6,0,30,0,3,False,9281,1426,0,2447
14,no_dependencies,1024,0.0,0.0,1,48,6,13.16,48.7,6,12,6,0,30,0,3,False,9005,1380,0,1922
14,no_fairness,1024,0.0,0.0,1,48,6,13.16,48.7,6,12,6,0,30,0,3,False,9281,1426,0,2447
15,isoko,1024,0.0,0.0,1,48,6,12.68,50.339999999999996,6,12,6,0,30,0,4,False,10067,1518,0,2728
15,fifo,1024,0.0,0.0,1,48,3,4.998,50.339999999999996,2,12,2,2,33,0,1,False,7854,966,0,2021
15,edf,1024,0.0,0.0,1,48,2,3.234,50.339999999999996,1,12,1,1,34,0,0,False,6097,736,0,1262
15,risk,1024,0.0,0.0,1,48,5,9.458,50.339999999999996,2,12,2,2,31,0,1,False,8595,1196,0,2512
15,density,1024,0.0,0.0,1,48,7,13.734,50.339999999999996,6,12,6,0,29,0,4,False,10605,1610,0,2978
15,no_dependencies,1024,0.0,0.0,1,48,7,13.204,50.339999999999996,6,12,6,0,29,0,4,False,10605,1610,0,2728
15,no_fairness,1024,0.0,0.0,1,48,6,13.209999999999999,50.339999999999996,6,12,6,0,30,0,4,False,10067,1518,0,2978
16,isoko,1024,0.0,0.0,1,48,5,12.04,47.28,5,12,5,0,31,0,2,False,8171,1196,0,1641
16,fifo,1024,0.0,0.0,1,48,3,5.24,47.28,1,12,1,2,33,0,0,False,6398,782,0,1932
16,edf,1024,0.0,0.0,1,48,4,5.8740000000000006,47.28,3,12,3,0,32,0,0,False,7099,920,0,1668
16,risk,1024,0.0,0.0,1,48,5,10.068,47.28,3,12,3,1,31,0,2,False,8490,1196,0,2646
16,density,1024,0.0,0.0,1,48,5,12.04,47.28,5,12,5,0,31,0,2,False,8448,1288,0,2418
16,no_dependencies,1024,0.0,0.0,1,48,5,12.04,47.28,5,12,5,0,31,0,2,False,8171,1196,0,1641
16,no_fairness,1024,0.0,0.0,1,48,5,12.04,47.28,5,12,5,0,31,0,2,False,8448,1242,0,1918
17,isoko,1024,0.0,0.0,1,48,6,12.51,48.08,6,12,6,0,30,0,4,False,10069,1472,0,2979
17,fifo,1024,0.0,0.0,1,48,4,5.0,48.08,2,12,2,3,32,0,2,False,8848,966,0,1814
17,edf,1024,0.0,0.0,1,48,2,2.9400000000000004,48.08,1,12,1,3,34,0,0,False,7576,874,0,1360
17,risk,1024,0.0,0.0,1,48,4,7.65,48.08,3,12,3,2,32,0,2,False,9636,1288,0,2814
17,density,1024,0.0,0.0,1,48,7,13.262,48.08,6,12,6,0,29,0,3,False,10107,1610,0,2729
17,no_dependencies,1024,0.0,0.0,1,48,7,13.122,48.08,6,12,6,0,29,0,4,False,10607,1564,0,2979
17,no_fairness,1024,0.0,0.0,1,48,6,12.65,48.08,6,12,6,0,30,0,3,False,9819,1518,0,2729
18,isoko,1024,0.0,0.0,1,48,5,10.43,48.06,5,12,5,0,31,0,2,False,8447,1334,0,1919
18,fifo,1024,0.0,0.0,1,48,3,4.322,48.06,2,12,2,2,33,0,2,False,7379,828,0,2006
18,edf,1024,0.0,0.0,1,48,2,2.212,48.06,1,12,1,2,34,0,2,False,5212,552,0,279
18,risk,1024,0.0,0.0,1,48,5,7.452,48.06,2,12,2,0,31,0,2,False,6927,920,0,1917
18,density,1024,0.0,0.0,1,48,5,10.43,48.06,5,12,5,0,31,0,2,False,8723,1380,0,2945
18,no_dependencies,1024,0.0,0.0,1,48,5,10.43,48.06,5,12,5,0,31,0,2,False,8447,1334,0,1919
18,no_fairness,1024,0.0,0.0,1,48,5,10.43,48.06,5,12,5,0,31,0,2,False,8724,1380,0,2446
19,isoko,1024,0.0,0.0,1,48,4,7.93,44.5,4,12,4,0,32,0,1,False,8164,1288,0,2447
19,fifo,1024,0.0,0.0,1,48,4,4.62,44.5,2,12,2,1,32,0,1,False,8724,1058,0,2619
19,edf,1024,0.0,0.0,1,48,3,4.859999999999999,44.5,3,12,3,1,33,0,0,False,7883,1150,0,1390
19,risk,1024,0.0,0.0,1,48,1,1.32,44.5,1,12,1,3,35,0,0,False,7449,736,0,802
19,density,1024,0.0,0.0,1,48,6,10.808,44.5,5,12,5,0,30,0,2,False,9454,1472,0,2697
19,no_dependencies,1024,0.0,0.0,1,48,5,8.458,44.5,4,12,4,0,31,0,1,False,8896,1380,0,2447
19,no_fairness,1024,0.0,0.0,1,48,5,10.280000000000001,44.5,5,12,5,0,31,0,2,False,8722,1380,0,2697
20,isoko,1024,0.0,0.0,1,48,7,13.82,43.78,7,12,7,0,29,0,4,False,9539,1472,0,1643
20,fifo,1024,0.0,0.0,1,48,4,5.804,43.78,3,12,3,1,32,0,0,False,7009,1058,0,1880
20,edf,1024,0.0,0.0,1,48,2,2.96,43.78,2,12,2,1,34,0,1,False,6961,828,0,1114
20,risk,1024,0.0,0.0,1,48,4,6.26,43.78,2,12,2,0,32,0,1,False,6624,920,0,2250
20,density,1024,0.0,0.0,1,48,7,13.82,43.78,7,12,6,0,29,0,4,False,9536,1472,0,2419
20,no_dependencies,1024,0.0,0.0,1,48,7,13.82,43.78,7,12,7,0,29,0,4,False,9539,1472,0,1643
20,no_fairness,1024,0.0,0.0,1,48,7,13.82,43.78,7,12,6,0,29,0,4,False,9537,1472,0,2170
1,isoko,1024,0.2,0.2,1,48,2,4.470000000000001,47.68,2,12,2,0,34,0,1,False,8329,874,3015,1640
1,fifo,1024,0.2,0.2,1,48,0,0,47.68,0,12,0,3,36,0,0,False,7460,552,2054,1563
1,edf,1024,0.2,0.2,1,48,3,3.958,47.68,2,12,2,0,33,0,0,False,8571,966,1463,2472
1,risk,1024,0.2,0.2,1,48,3,4.8,47.68,1,12,1,1,33,0,0,False,7967,782,2830,1066
1,density,1024,0.2,0.2,1,48,2,3.9699999999999998,47.68,2,12,2,0,34,0,0,False,8044,782,3442,1334
1,no_dependencies,1024,0.2,0.2,1,48,2,4.470000000000001,47.68,2,12,2,0,34,0,1,False,8598,874,3284,1640
1,no_fairness,1024,0.2,0.2,1,48,2,4.619999999999999,47.68,2,12,2,0,34,0,0,False,7496,828,2470,1056
2,isoko,1024,0.2,0.2,1,48,5,11.030000000000001,48.06,5,12,5,0,31,0,4,False,9232,1150,1428,2113
2,fifo,1024,0.2,0.2,1,48,3,4.938,48.06,2,12,2,0,33,0,1,False,7985,828,916,2040
2,edf,1024,0.2,0.2,1,48,4,5.838,48.06,2,12,2,0,32,0,1,False,8655,782,1862,1262
2,risk,1024,0.2,0.2,1,48,5,10.346,48.06,4,12,4,1,31,0,3,False,10124,1104,2164,1363
2,density,1024,0.2,0.2,1,48,5,11.290000000000001,48.06,5,12,5,1,31,0,4,False,10401,1242,1519,1891
2,no_dependencies,1024,0.2,0.2,1,48,5,11.030000000000001,48.06,5,12,4,1,31,0,3,False,10067,1196,1474,1835
2,no_fairness,1024,0.2,0.2,1,48,5,11.030000000000001,48.06,5,12,5,0,31,0,4,False,9534,1150,1723,2168
3,isoko,1024,0.2,0.2,1,48,5,12.16,48.08,5,12,4,0,31,0,3,False,9753,1150,2465,1861
3,fifo,1024,0.2,0.2,1,48,3,5.13,48.08,2,12,2,1,33,0,2,False,8286,644,2309,1174
3,edf,1024,0.2,0.2,1,48,3,5.3580000000000005,48.08,2,12,2,0,33,0,0,False,6497,690,1528,1083
3,risk,1024,0.2,0.2,1,48,4,8.623999999999999,48.08,3,12,2,0,32,0,1,False,7831,782,2483,1054
3,density,1024,0.2,0.2,1,48,4,9.969999999999999,48.08,4,12,4,0,32,0,3,False,10242,1196,2680,2638
3,no_dependencies,1024,0.2,0.2,1,48,5,12.16,48.08,5,12,4,0,31,0,3,False,10801,1196,2989,1861
3,no_fairness,1024,0.2,0.2,1,48,4,9.9,48.08,4,12,4,0,32,0,2,False,8946,1104,2186,2110
4,isoko,1024,0.2,0.2,1,48,4,8.56,45.84,4,12,4,0,32,0,1,False,7638,1104,990,1113
4,fifo,1024,0.2,0.2,1,48,1,1.91,45.84,1,12,1,0,35,0,0,False,7431,644,1722,1588
4,edf,1024,0.2,0.2,1,48,2,4.2299999999999995,45.84,2,12,2,2,34,0,0,False,7981,920,1472,556
4,risk,1024,0.2,0.2,1,48,2,4.11,45.84,2,12,2,1,34,0,0,False,7734,966,1518,1206
4,density,1024,0.2,0.2,1,48,6,10.943999999999999,45.84,5,12,4,0,30,0,2,False,9558,1380,1037,1919
4,no_dependencies,1024,0.2,0.2,1,48,5,9.324,45.84,4,12,4,0,31,0,1,False,8470,1196,1036,1113
4,no_fairness,1024,0.2,0.2,1,48,4,8.49,45.84,4,12,4,0,32,0,2,False,7915,1104,944,1640
5,isoko,1024,0.2,0.2,1,48,5,10.916,52.58,4,12,4,0,31,0,2,False,8682,1150,1554,1894
5,fifo,1024,0.2,0.2,1,48,5,7.658,52.58,3,12,3,0,31,0,1,False,9035,1058,1702,1864
5,edf,1024,0.2,0.2,1,48,2,3.822,52.58,1,12,1,1,34,0,0,False,7185,690,1224,528
5,risk,1024,0.2,0.2,1,48,3,6.23,52.58,2,12,2,2,33,0,0,False,7833,1012,1464,1124
5,density,1024,0.2,0.2,1,48,4,8.226,52.58,3,12,3,0,32,0,1,False,8590,1104,1927,1863
5,no_dependencies,1024,0.2,0.2,1,48,5,10.916,52.58,4,12,4,0,31,0,2,False,9430,1196,1928,1894
5,no_fairness,1024,0.2,0.2,1,48,5,10.916,52.58,4,12,4,0,31,0,2,False,8681,1150,1554,1893
6,isoko,1024,0.2,0.2,1,48,4,9.07,48.160000000000004,4,12,3,0,32,0,2,False,8748,1150,1636,2196
6,fifo,1024,0.2,0.2,1,48,3,3.6,48.160000000000004,1,12,1,2,33,0,2,False,7161,782,1036,1663
6,edf,1024,0.2,0.2,1,48,1,1.7699999999999998,48.160000000000004,1,12,1,2,35,0,2,False,6251,644,1296,1385
6,risk,1024,0.2,0.2,1,48,3,4.9,48.160000000000004,1,12,1,0,33,0,0,False,6056,736,1084,2430
6,density,1024,0.2,0.2,1,48,4,9.54,48.160000000000004,4,12,4,0,32,0,2,False,8167,1104,1238,2141
6,no_dependencies,1024,0.2,0.2,1,48,4,9.07,48.160000000000004,4,12,3,0,32,0,2,False,8748,1150,1636,2196
6,no_fairness,1024,0.2,0.2,1,48,4,9.54,48.160000000000004,4,12,4,0,32,0,2,False,8167,1104,1192,1891
7,isoko,1024,0.2,0.2,1,48,5,9.82,42.0,5,12,4,0,31,0,3,False,9981,1150,2241,1673
7,fifo,1024,0.2,0.2,1,48,3,2.6,42.0,1,12,1,1,33,0,0,False,7623,690,2178,1482
7,edf,1024,0.2,0.2,1,48,3,3.686,42.0,2,12,2,3,33,0,0,False,8234,1012,971,1114
7,risk,1024,0.2,0.2,1,48,0,0,42.0,0,12,0,2,36,0,0,False,7835,552,3128,1625
7,density,1024,0.2,0.2,1,48,5,10.19,42.0,5,12,5,0,31,0,4,False,10348,1104,3094,1613
7,no_dependencies,1024,0.2,0.2,1,48,5,9.82,42.0,5,12,4,0,31,0,3,False,10325,1150,2585,1673
7,no_fairness,1024,0.2,0.2,1,48,5,10.19,42.0,5,12,5,0,31,0,4,False,10004,1104,2500,1613
8,isoko,1024,0.2,0.2,1,48,4,8.600000000000001,45.32,4,12,4,0,32,0,3,False,9454,1196,1535,2671
8,fifo,1024,0.2,0.2,1,48,3,2.64,45.32,1,12,0,0,33,0,1,False,8562,644,1762,1668
8,edf,1024,0.2,0.2,1,48,2,3.6400000000000006,45.32,2,12,2,2,34,0,0,False,8268,874,1823,1421
8,risk,1024,0.2,0.2,1,48,4,6.84,45.32,3,12,3,1,32,0,2,False,10187,1058,2563,1796
8,density,1024,0.2,0.2,1,48,5,9.702,45.32,4,12,4,0,31,0,3,False,10059,1242,1942,2643
8,no_dependencies,1024,0.2,0.2,1,48,5,9.352,45.32,4,12,4,0,31,0,3,False,10090,1288,1535,2671
8,no_fairness,1024,0.2,0.2,1,48,4,8.95,45.32,4,12,4,0,32,0,3,False,9423,1150,1784,2393
9,isoko,1024,0.2,0.2,1,48,5,9.44,47.06,5,12,5,0,31,0,5,False,9785,1242,1054,2977
9,fifo,1024,0.2,0.2,1,48,2,3.14,47.06,2,12,2,2,34,0,0,False,8608,966,1954,2197
9,edf,1024,0.2,0.2,1,48,0,0,47.06,0,12,0,2,36,0,0,False,5601,322,1445,584
9,risk,1024,0.2,0.2,1,48,2,3.94,47.06,2,12,2,0,34,0,1,False,8548,828,2989,1648
9,density,1024,0.2,0.2,1,48,5,10.74,47.06,5,12,4,1,31,0,4,False,10069,1426,1053,3504
9,no_dependencies,1024,0.2,0.2,1,48,5,9.44,47.06,5,12,5,1,31,0,5,False,10323,1334,1054,2977
9,no_fairness,1024,0.2,0.2,1,48,5,10.74,47.06,5,12,4,0,31,0,4,False,9531,1242,1053,3005
10,isoko,1024,0.2,0.2,1,48,4,7.89,43.46,4,12,4,0,32,0,2,False,8479,1196,1036,2198
10,fifo,1024,0.2,0.2,1,48,2,3.4699999999999998,43.46,2,12,2,0,34,0,1,False,7968,874,1602,2082
10,edf,1024,0.2,0.2,1,48,1,1.49,43.46,1,12,1,1,35,0,0,False,6280,598,2106,250
10,risk,1024,0.2,0.2,1,48,4,5.67,43.46,2,12,2,0,32,0,0,False,8574,966,1589,1665
10,density,1024,0.2,0.2,1,48,5,9.9,43.46,5,12,4,0,31,0,2,False,10030,1334,1561,2171
10,no_dependencies,1024,0.2,0.2,1,48,4,7.89,43.46,4,12,4,0,32,0,2,False,9527,1242,1560,2198
10,no_fairness,1024,0.2,0.2,1,48,5,9.9,43.46,5,12,4,0,31,0,2,False,8732,1242,1037,1921
11,isoko,1024,0.2,0.2,1,48,5,10.45,49.14,5,12,5,0,31,0,3,False,9782,1288,1192,2449
11,fifo,1024,0.2,0.2,1,48,1,1.1,49.14,1,12,1,1,35,0,0,False,6813,644,1652,778
11,edf,1024,0.2,0.2,1,48,0,0,49.14,0,12,0,2,36,0,0,False,6083,414,758,988
11,risk,1024,0.2,0.2,1,48,1,2.42,49.14,1,12,1,1,35,0,1,False,8608,506,2292,1284
11,density,1024,0.2,0.2,1,48,6,12.870000000000001,49.14,6,12,5,0,30,0,3,False,10649,1564,1080,3286
11,no_dependencies,1024,0.2,0.2,1,48,5,10.45,49.14,5,12,5,0,31,0,3,False,9782,1288,1192,2449
11,no_fairness,1024,0.2,0.2,1,48,5,10.56,49.14,5,12,5,0,31,0,3,False,10340,1380,1330,2757
12,isoko,1024,0.2,0.2,1,48,6,13.21,50.84,6,12,6,0,30,0,2,False,10597,1334,2251,1393
12,fifo,1024,0.2,0.2,1,48,4,8.07,50.84,4,12,4,1,32,0,2,False,9659,1104,2526,1864
12,edf,1024,0.2,0.2,1,48,4,6.156000000000001,50.84,3,12,3,0,32,0,0,False,7850,966,1308,1112
12,risk,1024,0.2,0.2,1,48,3,4.346,50.84,2,12,2,0,33,0,0,False,7254,828,502,1056
12,density,1024,0.2,0.2,1,48,6,13.360000000000001,50.84,6,12,6,0,30,0,4,False,10596,1288,2001,1643
12,no_dependencies,1024,0.2,0.2,1,48,6,13.21,50.84,6,12,6,0,30,0,2,False,10597,1334,2251,1393
12,no_fairness,1024,0.2,0.2,1,48,6,13.21,50.84,6,12,6,0,30,0,2,False,10597,1334,2251,1393
13,isoko,1024,0.2,0.2,1,48,4,9.56,50.9,4,12,4,0,32,0,1,False,8422,1150,1521,1861
13,fifo,1024,0.2,0.2,1,48,2,2.6740000000000004,50.9,1,12,1,0,34,0,0,False,6384,736,495,1512
13,edf,1024,0.2,0.2,1,48,2,2.6740000000000004,50.9,1,12,1,1,34,0,0,False,5967,598,971,278
13,risk,1024,0.2,0.2,1,48,4,7.704000000000001,50.9,3,12,3,1,32,0,1,False,9284,1104,1426,2285
13,density,1024,0.2,0.2,1,48,4,9.56,50.9,4,12,4,1,32,0,2,False,9523,1242,1333,2446
13,no_dependencies,1024,0.2,0.2,1,48,4,9.56,50.9,4,12,4,1,32,0,1,False,9470,1242,1567,1861
13,no_fairness,1024,0.2,0.2,1,48,4,9.56,50.9,4,12,4,0,32,0,2,False,8476,1150,1287,2446
14,isoko,1024,0.2,0.2,1,48,3,6.76,48.7,3,12,3,0,33,0,1,False,7108,966,1257,1668
